Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update,source_file,Area (sqMI),Area (sqNM),Area (sqKM),date,prev_latitude,prev_longitude,prev_date,days_since_previous,movement_km,speed_km_per_day
C18B,19.0,4.0,-66.56,89.34,amere (fasted),1/6/2023,AntarcticIcebergs_20230106.csv,,,,2023-01-06,,,,,,
C18B,19.0,4.0,-66.56,89.34,amere (fasted),1/13/2023,AntarcticIcebergs_20230113.csv,,,,2023-01-13,-66.56,89.34,2023-01-06,7.0,0.0,0.0
C18B,19.0,4.0,-66.56,89.34,amere (fasted),1/20/2023,AntarcticIcebergs_20230120.csv,,,,2023-01-20,-66.56,89.34,2023-01-13,7.0,0.0,0.0
C18B,19.0,4.0,-66.56,89.34,amere (fasted),1/27/2023,AntarcticIcebergs_20230127.csv,,,,2023-01-27,-66.56,89.34,2023-01-20,7.0,0.0,0.0
C18B,19.0,4.0,-66.56,89.34,amere (fasted),2/3/2023,AntarcticIcebergs_20230203.csv,,,,2023-02-03,-66.56,89.34,2023-01-27,7.0,0.0,0.0
C18B,19.0,4.0,-66.56,89.34,amere (fasted),2/10/2023,AntarcticIcebergs_20230210.csv,,,,2023-02-10,-66.56,89.34,2023-02-03,7.0,0.0,0.0
C18B,19.0,4.0,-66.56,89.34,amere (fasted),2/17/2023,AntarcticIcebergs_20230217.csv,,,,2023-02-17,-66.56,89.34,2023-02-10,7.0,0.0,0.0
C18B,19.0,4.0,-66.56,89.34,amere (fasted),2/24/2023,AntarcticIcebergs_20230224.csv,,,,2023-02-24,-66.56,89.34,2023-02-17,7.0,0.0,0.0
C18B,19.0,4.0,-66.53,89.31,amere (fasted),3/3/2023,AntarcticIcebergs_20230303.csv,,,,2023-03-03,-66.56,89.34,2023-02-24,7.0,3.590380862986104,0.5129115518551577
C18B,19.0,4.0,-66.5,88.98,amere (fasted),3/10/2023,AntarcticIcebergs_20230310.csv,,,,2023-03-10,-66.53,89.31,2023-03-03,7.0,14.998665106677388,2.142666443811055
C18B,19.0,4.0,-66.48,88.91,amere (fasted),3/17/2023,AntarcticIcebergs_20230317.csv,,,,2023-03-17,-66.5,88.98,2023-03-10,7.0,3.8192331198989207,0.5456047314141316
C18B,19.0,4.0,-66.37,88.26,,3/24/2023,AntarcticIcebergs_20230324.csv,,,,2023-03-24,-66.48,88.91,2023-03-17,7.0,31.388076449455472,4.484010921350782
C18B,19.0,4.0,-66.25,88.91,,3/31/2023,AntarcticIcebergs_20230331.csv,,,,2023-03-31,-66.37,88.26,2023-03-24,7.0,31.958561959414542,4.5655088513449344
C18B,19.0,4.0,-66.23,89.03,,4/7/2023,AntarcticIcebergs_20230407.csv,,,,2023-04-07,-66.25,88.91,2023-03-31,7.0,5.817952630491193,0.8311360900701704
C18B,19.0,4.0,-65.96,88.04,,4/14/2023,AntarcticIcebergs_20230414.csv,,,,2023-04-14,-66.23,89.03,2023-04-07,7.0,53.769214706340506,7.681316386620073
C18B,19.0,4.0,-65.85,85.85,,4/21/2023,AntarcticIcebergs_20230421.csv,,,,2023-04-21,-65.96,88.04,2023-04-14,7.0,100.16032597819236,14.308617996884623
C18B,19.0,4.0,-66.12,84.3,,4/28/2023,AntarcticIcebergs_20230428.csv,,,,2023-04-28,-65.85,85.85,2023-04-21,7.0,76.2956252325243,10.899375033217757
C18B,19.0,4.0,-66.22,84.16,,5/5/2023,AntarcticIcebergs_20230505.csv,,,,2023-05-05,-66.12,84.3,2023-04-28,7.0,12.775036032737077,1.8250051475338682
C18B,19.0,4.0,-66.21,83.91,,5/12/2023,AntarcticIcebergs_20230512.csv,,,,2023-05-12,-66.22,84.16,2023-05-05,7.0,11.266387395575165,1.609483913653595
C18B,19.0,4.0,-66.16,83.67,,5/19/2023,AntarcticIcebergs_20230519.csv,,,,2023-05-19,-66.21,83.91,2023-05-12,7.0,12.125452806194183,1.7322075437420261
C18B,19.0,4.0,-66.02,83.44,,5/26/2023,AntarcticIcebergs_20230526.csv,,,,2023-05-26,-66.16,83.67,2023-05-19,7.0,18.702494516513656,2.671784930930522
