Iceberg,start_date,end_date,forecast_days,start_latitude,start_longitude,end_latitude,end_longitude
C18B,2023-01-06,2023-01-13,7,-66.56,89.34,-66.56,89.34
C18B,2023-01-13,2023-01-20,7,-66.56,89.34,-66.56,89.34
C18B,2023-01-20,2023-01-27,7,-66.56,89.34,-66.56,89.34
C18B,2023-01-27,2023-02-03,7,-66.56,89.34,-66.56,89.34
C18B,2023-02-03,2023-02-10,7,-66.56,89.34,-66.56,89.34
C18B,2023-02-10,2023-02-17,7,-66.56,89.34,-66.56,89.34
C18B,2023-02-17,2023-02-24,7,-66.56,89.34,-66.56,89.34
C18B,2023-02-24,2023-03-03,7,-66.56,89.34,-66.53,89.31
C18B,2023-03-03,2023-03-10,7,-66.53,89.31,-66.5,88.98
C18B,2023-03-10,2023-03-17,7,-66.5,88.98,-66.48,88.91
C18B,2023-03-17,2023-03-24,7,-66.48,88.91,-66.37,88.26
C18B,2023-03-24,2023-03-31,7,-66.37,88.26,-66.25,88.91
C18B,2023-03-31,2023-04-07,7,-66.25,88.91,-66.23,89.03
C18B,2023-04-07,2023-04-14,7,-66.23,89.03,-65.96,88.04
C18B,2023-04-14,2023-04-21,7,-65.96,88.04,-65.85,85.85
C18B,2023-04-21,2023-04-28,7,-65.85,85.85,-66.12,84.3
C18B,2023-04-28,2023-05-05,7,-66.12,84.3,-66.22,84.16
C18B,2023-05-05,2023-05-12,7,-66.22,84.16,-66.21,83.91
C18B,2023-05-12,2023-05-19,7,-66.21,83.91,-66.16,83.67
C18B,2023-05-19,2023-05-26,7,-66.16,83.67,-66.02,83.44
C18B,2023-05-26,2023-06-02,7,-66.02,83.44,-65.91,82.7
C18B,2023-06-02,2023-06-09,7,-65.91,82.7,-65.75,81.92
C18B,2023-06-09,2023-06-15,6,-65.75,81.92,-65.75,81.92
C18B,2023-06-15,2023-06-23,8,-65.75,81.92,-65.91,82.7
C18B,2023-06-23,2023-06-24,1,-65.91,82.7,-65.85,81.72
C18B,2023-06-24,2023-06-30,6,-65.85,81.72,-65.86,81.78
C18B,2023-06-30,2023-07-07,7,-65.86,81.78,-65.85,81.73
C18B,2023-07-07,2023-07-14,7,-65.85,81.73,-65.85,81.73
C18B,2023-07-14,2023-07-21,7,-65.85,81.73,-65.85,81.73
C18B,2023-07-21,2023-07-27,6,-65.85,81.73,-65.85,81.73
C18B,2023-07-27,2023-07-28,1,-65.85,81.73,-65.91,82.7
C18B,2023-07-28,2023-08-04,7,-65.91,82.7,-65.85,81.75
C18B,2023-08-04,2023-08-11,7,-65.85,81.75,-65.84,81.8
C18B,2023-08-11,2023-08-18,7,-65.84,81.8,-65.87,81.75
C18B,2023-08-18,2023-08-25,7,-65.87,81.75,-65.87,81.75
C18B,2023-08-25,2023-09-01,7,-65.87,81.75,-65.89,81.81
C18B,2023-09-01,2023-09-08,7,-65.89,81.81,-65.89,81.81
C18B,2023-09-08,2023-09-15,7,-65.89,81.81,-65.86,81.72
C18B,2023-09-15,2023-09-22,7,-65.86,81.72,-65.82,81.75
C18B,2023-09-22,2023-09-30,8,-65.82,81.75,-65.85,81.7
C18B,2023-09-30,2023-10-06,6,-65.85,81.7,-65.85,81.72
C18B,2023-10-06,2023-10-13,7,-65.85,81.72,-65.85,81.72
C18B,2023-10-13,2023-10-20,7,-65.85,81.72,-65.77,81.64
C18B,2023-10-20,2023-10-26,6,-65.77,81.64,-65.77,81.64
C18B,2023-10-26,2023-11-03,8,-65.77,81.64,-65.77,81.64
C18B,2023-11-03,2023-11-09,6,-65.77,81.64,-65.77,81.64
C18B,2023-11-09,2023-11-17,8,-65.77,81.64,-65.77,81.64
C18B,2023-11-17,2023-11-24,7,-65.77,81.64,-65.78,81.61
C18B,2023-11-24,2023-12-08,14,-65.78,81.61,-65.78,81.61
C18B,2023-12-08,2023-12-15,7,-65.78,81.61,-65.71,81.61
C18B,2023-12-15,2023-12-21,6,-65.71,81.61,-65.69,81.17
C18B,2023-12-21,2023-12-28,7,-65.69,81.17,-65.88,80.91
C18B,2023-12-28,2024-01-04,7,-65.88,80.91,-65.88,80.94
C18B,2024-01-04,2024-01-11,7,-65.88,80.94,-65.89,80.87
C18B,2024-01-11,2024-01-18,7,-65.89,80.87,-65.9,80.67
C18B,2024-01-18,2024-01-25,7,-65.9,80.67,-65.89,80.65
C18B,2024-01-25,2024-02-02,8,-65.89,80.65,-66.01,80.29
C18B,2024-02-02,2024-02-08,6,-66.01,80.29,-66.03,80.38
C18B,2024-02-08,2024-02-16,8,-66.03,80.38,-66.12,79.96
C18B,2024-02-16,2024-02-23,7,-66.12,79.96,-65.97,79.65
C18B,2024-02-23,2024-03-01,7,-65.97,79.65,-66.48,78.96
C18B,2024-03-01,2024-03-07,6,-66.48,78.96,-66.64,78.09
C18B,2024-03-07,2024-03-15,8,-66.64,78.09,-66.88,77.42
C18B,2024-03-15,2024-03-22,7,-66.88,77.42,-66.48,78.96
C18B,2024-03-22,2024-03-29,7,-66.48,78.96,-67.23,77.68
C18B,2024-03-29,2024-04-05,7,-67.23,77.68,-67.21,77.89
C18B,2024-04-05,2024-04-12,7,-67.21,77.89,-67.21,77.89
C18B,2024-04-12,2024-04-19,7,-67.21,77.89,-66.98,78.41
C18B,2024-04-19,2024-04-26,7,-66.98,78.41,-66.99,78.44
C18B,2024-04-26,2024-05-02,6,-66.99,78.44,-67.07,78.34
C18B,2024-05-02,2024-05-09,7,-67.07,78.34,-67.07,78.33
C18B,2024-05-09,2024-05-17,8,-67.07,78.33,-67.05,78.34
C18B,2024-05-17,2024-05-24,7,-67.05,78.34,-67.07,78.33
C18B,2024-05-24,2024-05-31,7,-67.07,78.33,-67.07,78.33
C18B,2024-05-31,2024-06-07,7,-67.07,78.33,-67.07,78.33
C18B,2024-06-07,2024-06-14,7,-67.07,78.33,-67.07,78.33
C18B,2024-06-14,2024-06-21,7,-67.07,78.33,-67.07,78.33
C18B,2024-06-21,2024-06-27,6,-67.07,78.33,-67.07,78.33
C18B,2024-06-27,2024-07-05,8,-67.07,78.33,-67.07,78.33
C18B,2024-07-05,2024-07-12,7,-67.07,78.33,-67.07,78.33
C18B,2024-07-12,2024-07-19,7,-67.07,78.33,-67.07,78.33
C18B,2024-07-19,2024-07-25,6,-67.07,78.33,-67.21,78.22
C18B,2024-07-25,2024-08-02,8,-67.21,78.22,-67.07,78.34
C18B,2024-08-02,2024-08-08,6,-67.07,78.34,-67.07,78.34
C18B,2024-08-08,2024-08-15,7,-67.07,78.34,-67.07,78.34
C18B,2024-08-15,2024-08-22,7,-67.07,78.34,-67.07,78.34
C18B,2024-08-22,2024-08-29,7,-67.07,78.34,-67.07,78.34
C18B,2024-08-29,2024-09-06,8,-67.07,78.34,-67.07,78.34
C18B,2024-09-06,2024-09-13,7,-67.07,78.34,-67.07,78.33
C18B,2024-09-13,2024-09-20,7,-67.07,78.33,-67.07,78.33
C18B,2024-09-20,2024-09-26,6,-67.07,78.33,-67.22,78.29
C18B,2024-09-26,2024-10-04,8,-67.22,78.29,-67.22,78.3
C18B,2024-10-04,2024-10-10,6,-67.22,78.3,-67.26,77.88
C18B,2024-10-10,2024-10-18,8,-67.26,77.88,-67.24,78.1
C18B,2024-10-18,2024-10-25,7,-67.24,78.1,-67.17,78.2
C18B,2024-10-25,2024-10-31,6,-67.17,78.2,-67.16,78.15
C18B,2024-10-31,2024-11-07,7,-67.16,78.15,-67.15,78.16
C18B,2024-11-07,2024-11-15,8,-67.15,78.16,-67.15,78.16
C18B,2024-11-15,2024-11-21,6,-67.15,78.16,-67.15,78.16
C18B,2024-11-21,2024-11-28,7,-67.15,78.16,-67.15,78.16
C18B,2024-11-28,2024-12-06,8,-67.15,78.16,-67.15,78.16
C18B,2024-12-06,2024-12-13,7,-67.15,78.16,-67.15,78.16
C18B,2024-12-13,2024-12-20,7,-67.15,78.16,-67.15,78.16
C18B,2024-12-20,2024-12-26,6,-67.15,78.16,-67.14,78.16
C18B,2024-12-26,2025-01-02,7,-67.14,78.16,-67.15,78.24
C18B,2025-01-02,2025-01-10,8,-67.15,78.24,-67.14,78.24
C18B,2025-01-10,2025-01-16,6,-67.14,78.24,-67.16,78.19
C18B,2025-01-16,2025-01-23,7,-67.16,78.19,-67.15,78.17
C18B,2025-01-23,2025-01-31,8,-67.15,78.17,-67.15,78.16
C18B,2025-01-31,2025-02-06,6,-67.15,78.16,-67.14,78.16
C18B,2025-02-06,2025-02-14,8,-67.14,78.16,-67.16,78.18
C18B,2025-02-14,2025-02-21,7,-67.16,78.18,-67.14,78.17
C18B,2025-02-21,2025-02-28,7,-67.14,78.17,-67.14,78.17
C18B,2025-02-28,2025-03-06,6,-67.14,78.17,-67.14,78.16
C18B,2025-03-06,2025-03-13,7,-67.14,78.16,-67.15,78.19
C18B,2025-03-13,2025-03-21,8,-67.15,78.19,-67.17,78.22
C18B,2025-03-21,2025-03-27,6,-67.17,78.22,-67.17,78.19
C18B,2025-03-27,2025-04-04,8,-67.17,78.19,-67.14,78.17
C18B,2025-04-04,2025-04-11,7,-67.14,78.17,-67.16,78.2
C18B,2025-04-11,2025-04-18,7,-67.16,78.2,-67.17,78.23
C18B,2025-04-18,2025-04-24,6,-67.17,78.23,-67.15,78.19
C18B,2025-04-24,2025-05-02,8,-67.15,78.19,-67.15,78.19
C18B,2025-05-02,2025-05-09,7,-67.15,78.19,-67.18,78.15
C18B,2025-05-09,2025-05-16,7,-67.18,78.15,-67.15,78.18
C18B,2025-05-16,2025-05-22,6,-67.15,78.18,-67.19,78.14
C18B,2025-05-22,2025-05-29,7,-67.19,78.14,-67.16,78.14
C18B,2025-05-29,2025-06-05,7,-67.16,78.14,-67.47,77.74
C18B,2025-06-05,2025-06-12,7,-67.47,77.74,-67.55,77.91
C18B,2025-06-12,2025-06-20,8,-67.55,77.91,-67.2,78.07
C18B,2025-06-20,2025-06-27,7,-67.2,78.07,-68.28,77.58
C18B,2025-06-27,2025-07-04,7,-68.28,77.58,-68.61,75.79
C18B,2025-07-04,2025-07-11,7,-68.61,75.79,-68.64,75.15
C18B,2025-07-11,2025-07-18,7,-68.64,75.15,-68.57,74.04
C18B,2025-07-18,2025-07-24,6,-68.57,74.04,-68.04,72.75
C18B,2025-07-24,2025-07-31,7,-68.04,72.75,-68.03,71.19
C18B,2025-07-31,2025-08-08,8,-68.03,71.19,-67.25,70.92
C18B,2025-08-08,2025-08-14,6,-67.25,70.92,-66.97,69.06
C18B,2025-08-14,2025-08-21,7,-66.97,69.06,-66.98,67.66
C18B,2025-08-21,2025-08-28,7,-66.98,67.66,-66.91,65.4
C18B,2025-08-28,2025-09-04,7,-66.91,65.4,-66.91,65.4
C18B,2025-09-04,2025-09-11,7,-66.91,65.4,-66.91,65.4
C18B,2025-09-11,2025-09-18,7,-66.91,65.4,-66.91,65.4
C18B,2025-09-18,2025-09-26,8,-66.91,65.4,-66.91,65.4
C18B,2025-09-26,2025-10-09,13,-66.91,65.4,-66.91,65.4
C18B,2025-10-09,2025-10-16,7,-66.91,65.4,-66.91,65.4
C18B,2025-10-16,2025-10-23,7,-66.91,65.4,-66.91,65.4
C18B,2025-10-23,2025-10-31,8,-66.91,65.4,-66.89,65.07
